 usecs   ticks  time part mamType noteType channel pitch velocity    other
555556       0 0.000    0       2       f0       f    51        0 00000000
     0    3768 8.722    1       0       80       0    4c        0 00000000
     0    3780 8.750    1       0       90       0    49       6b 00000000
     0    3816 8.833    2       0       80       1    2d        0 00000000
     0    3828 8.861    1       0       80       0    49        0 00000000
     0    3840 8.889    1       0       90       0    4f       6b 00000000
     0    3840 8.889    2       0       90       1    31       6b 00000000
     0    3888 9.000    1       0       80       0    4f        0 00000000
     0    3900 9.028    1       0       90       0    4c       6b 00000000
     0    3936 9.111    2       0       80       1    31        0 00000000
     0    3948 9.139    1       0       80       0    4c        0 00000000
     0    3960 9.167    1       0       90       0    49       6b 00000000
     0    3960 9.167    2       0       90       1    34       6b 00000000
     0    4008 9.278    1       0       80       0    49        0 00000000
     0    4020 9.306    1       0       90       0    4c       6b 00000000
     0    4056 9.389    2       0       80       1    34        0 00000000
     0    4068 9.417    1       0       80       0    4c        0 00000000
     0    4080 9.444    1       0       90       0    45       6b 00000000
     0    4080 9.444    2       0       90       1    31       6b 00000000
     0    4128 9.556    1       0       80       0    45        0 00000000
     0    4140 9.583    1       0       90       0    43       6b 00000000
     0    4176 9.667    2       0       80       1    31        0 00000000
     0    4188 9.694    1       0       80       0    43        0 00000000
     0    4200 9.722    1       0       90       0    42       6b 00000000
     0    4200 9.722    2       0       90       1    2d       6b 00000000
     0    4248 9.833    1       0       80       0    42        0 00000000
     0    4260 9.861    1       0       90       0    40       6b 00000000
     0    4296 9.944    2       0       80       1    2d        0 00000000
     0    4308 9.972    1       0       80       0    40        0 00000000
     0    4320 10.000    1       0       90       0    42       6b 00000000
     0    4320 10.000    2       0       90       1    32       6b 00000000
     0    4368 10.111    2       0       80       1    32        0 00000000
     0    4380 10.139    2       0       90       1    3c       6b 00000000
     0    4416 10.222    1       0       80       0    42        0 00000000
     0    4428 10.250    2       0       80       1    3c        0 00000000
     0    4440 10.278    1       0       90       0    4a       6b 00000000
     0    4440 10.278    2       0       90       1    39       6b 00000000
     0    4488 10.389    2       0       80       1    39        0 00000000
     0    4500 10.417    2       0       90       1    36       6b 00000000
     0    4536 10.500    1       0       80       0    4a        0 00000000
     0    4548 10.528    2       0       80       1    36        0 00000000
     0    4560 10.556    1       0       90       0    4e       6b 00000000
     0    4560 10.556    2       0       90       1    3c       6b 00000000
     0    4608 10.667    2       0       80       1    3c        0 00000000
     0    4620 10.694    2       0       90       1    39       6b 00000000
     0    4656 10.778    1       0       80       0    4e        0 00000000
     0    4668 10.806    2       0       80       1    39        0 00000000
     0    4680 10.833    1       0       90       0    51       6b 00000000
     0    4680 10.833    2       0       90       1    36       6b 00000000
     0    4728 10.944    2       0       80       1    36        0 00000000
     0    4740 10.972    2       0       90       1    39       6b 00000000
     0    4776 11.056    1       0       80       0    51        0 00000000
     0    4788 11.083    2       0       80       1    39        0 00000000
     0    4800 11.111    1       0       90       0    4e       6b 00000000
     0    4800 11.111    2       0       90       1    32       6b 00000000
     0    4848 11.222    2       0       80       1    32        0 00000000
     0    4860 11.250    2       0       90       1    3c       6b 00000000
     0    4896 11.333    1       0       80       0    4e        0 00000000
     0    4908 11.361    2       0       80       1    3c        0 00000000
     0    4920 11.389    1       0       90       0    4a       6b 00000000
     0    4920 11.389    2       0       90       1    3b       6b 00000000
     0    4968 11.500    2       0       80       1    3b        0 00000000
     0    4980 11.528    2       0       90       1    39       6b 00000000
     0    5016 11.611    1       0       80       0    4a        0 00000000
     0    5028 11.639    2       0       80       1    39        0 00000000
     0    5040 11.667    1       0       90       0    4f       6b 00000000
     0    5040 11.667    2       0       90       1    3b       6b 00000000
     0    5088 11.778    1       0       80       0    4f        0 00000000
     0    5100 11.806    1       0       90       0    4d       6b 00000000
     0    5136 11.889    2       0       80       1    3b        0 00000000
     0    5148 11.917    1       0       80       0    4d        0 00000000
